Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Legal Department,Group C,Full Time,Divorced,37,Seattle,00:00.0,Active,7,18,2 Years,3 Years,Bachelor,Very High,Low,Good,High,Better,Bowen,Male,70219,Other,190
Human Resources,Group D,Full Time,Divorced,24,Los Angeles,00:00.0,Non Active,9,20,2 Years,3 Years,Masters,Low,Low,Excellent,High,Better,Dominguez,Male,98080,Other,217
Legal Department,Group A,Part Time,Divorced,42,Houston,00:00.0,Active,8,19,2 Years,3 Years,College,Low,Medium,Excellent,Medium,Better,Hood,Female,75899,Other,221
Accounting,Group C,Part Time,Divorced,25,New York City,00:00.0,Active,5,6,2 Years,3 Years,College,Medium,Low,Excellent,Low,Bad,Armstrong,Female,96026,Other,337
Tech Support,Group C,Part Time,Divorced,27,New York City,00:00.0,Active,7,11,2 Years,3 Years,Masters,Very High,Very High,Outstanding,Very High,Good,Stein,Male,92376,Other,349
Legal Department,Group B,Full Time,Divorced,32,Seattle,00:00.0,Non Active,8,17,2 Years,3 Years,Masters,Medium,High,Outstanding,Low,Best,Frye,Male,80475,Other,483
Advertising,Group C,Full Time,Divorced,46,Los Angeles,00:00.0,Active,3,19,2 Years,3 Years,Bachelor,Very High,Very High,Excellent,High,Best,Wade,Female,109197,Other,497
Finances,Group B,Part Time,Divorced,34,Los Angeles,00:00.0,Non Active,1,10,2 Years,3 Years,Doctor,Medium,Low,Outstanding,Very High,Better,Gaines,Female,76194,Other,578
Finances,Group C,Part Time,Divorced,62,New York City,00:00.0,Active,8,6,2 Years,3 Years,Doctor,High,High,Good,Low,Best,Vinson,Male,88035,Other,596
Advertising,Group A,Part Time,Divorced,26,New York City,00:00.0,Active,7,14,2 Years,3 Years,College,High,Medium,Low,High,Good,Farrell,Female,93398,Other,613
Customer Relations,Group D,Part Time,Divorced,56,Seattle,00:00.0,Active,2,6,2 Years,3 Years,Doctor,Low,High,Good,Medium,Better,Lindsay,Female,84620,Other,698
Customer Service,Group D,Part Time,Divorced,63,Los Angeles,00:00.0,Active,12,10,2 Years,3 Years,College,High,Medium,Outstanding,Very High,Better,Madden,Male,78332,Other,730
Sales and Marketing,Group D,Full Time,Divorced,56,New York City,00:00.0,Active,9,16,2 Years,3 Years,College,Medium,Low,Low,High,Better,Wilkerson,Male,105467,Other,761
Customer Relations,Group C,Full Time,Divorced,40,Los Angeles,00:00.0,Active,10,10,2 Years,3 Years,College,Low,High,Low,High,Best,Gilbert,Female,94550,Other,771
Research and Development,Group C,Part Time,Divorced,30,Seattle,00:00.0,Active,2,12,2 Years,3 Years,Doctor,Medium,High,Outstanding,Very High,Good,Dominguez,Female,88819,Other,775
Human Resources,Group A,Part Time,Divorced,62,Los Angeles,00:00.0,Non Active,8,10,2 Years,3 Years,Masters,Low,Low,Excellent,Medium,Bad,Marquez,Male,92648,Other,782
Quality Assurance,Group D,Full Time,Divorced,58,Los Angeles,00:00.0,Active,2,16,2 Years,3 Years,Bachelor,Low,Medium,Good,High,Bad,Vega,Male,70026,Other,792
Tech Support,Group C,Part Time,Divorced,54,Los Angeles,00:00.0,Active,11,18,2 Years,3 Years,Doctor,Medium,Very High,Good,Very High,Better,Andrews,Male,94079,Other,857
Research and Development,Group B,Full Time,Divorced,28,Houston,00:00.0,Non Active,12,7,2 Years,3 Years,Bachelor,Very High,High,Low,Medium,Best,Cruz,Male,109525,Other,896
Sales and Marketing,Group A,Full Time,Divorced,60,Los Angeles,00:00.0,Active,12,14,2 Years,3 Years,Bachelor,Low,High,Low,Low,Better,Allison,Female,73108,Other,1003
Media Relations,Group C,Part Time,Divorced,37,Houston,00:00.0,Non Active,6,14,2 Years,3 Years,Masters,High,Low,Low,Low,Bad,Ryan,Male,88754,Other,1072
Media Relations,Group C,Part Time,Divorced,32,Seattle,00:00.0,Active,10,12,2 Years,3 Years,Masters,Medium,High,Good,Medium,Best,Mullen,Female,116486,Other,1077
Customer Service,Group B,Full Time,Divorced,58,Los Angeles,00:00.0,Non Active,4,5,2 Years,3 Years,Bachelor,High,High,Good,Medium,Bad,Johnston,Female,76527,Other,1179
Accounting,Group B,Part Time,Divorced,41,Seattle,00:00.0,Non Active,8,5,2 Years,3 Years,Doctor,Very High,Medium,Good,Very High,Bad,Dillon,Male,84081,Other,1205
Customer Service,Group D,Part Time,Divorced,40,Houston,00:00.0,Non Active,1,11,2 Years,3 Years,Bachelor,Very High,Very High,Low,Low,Good,Pugh,Male,79579,Other,1217
Sales and Marketing,Group C,Part Time,Divorced,40,Seattle,00:00.0,Active,12,13,2 Years,3 Years,Masters,High,Low,Good,Medium,Bad,Norris,Female,108876,Other,1270
Quality Assurance,Group D,Part Time,Divorced,35,Seattle,00:00.0,Active,3,7,2 Years,3 Years,Masters,Medium,Medium,Excellent,Low,Good,Copeland,Female,90171,Other,1363
Public Relations,Group B,Part Time,Divorced,26,Houston,00:00.0,Active,2,19,2 Years,3 Years,Doctor,High,Medium,Good,Low,Best,Powers,Male,96598,Other,1393
Asset Management,Group D,Part Time,Divorced,46,New York City,00:00.0,Active,7,14,2 Years,3 Years,College,Low,Medium,Excellent,Low,Bad,Joseph,Male,97068,Other,1463
Legal Department,Group B,Part Time,Divorced,30,Houston,00:00.0,Non Active,10,17,2 Years,3 Years,College,Low,High,Good,Medium,Good,Newman,Male,107669,Other,1488
Payroll,Group C,Part Time,Divorced,65,Los Angeles,00:00.0,Non Active,5,18,2 Years,3 Years,Bachelor,Medium,Medium,Low,High,Bad,Weaver,Female,78600,Other,1576
Human Resources,Group A,Part Time,Divorced,46,New York City,00:00.0,Non Active,6,5,2 Years,3 Years,Masters,Very High,High,Good,Very High,Good,Burnett,Male,113130,Other,1609
Quality Assurance,Group D,Part Time,Divorced,45,Los Angeles,00:00.0,Active,9,5,2 Years,3 Years,Masters,Medium,High,Excellent,High,Best,Dyer,Male,117306,Other,1612
Human Resources,Group D,Part Time,Divorced,55,Seattle,00:00.0,Active,11,20,2 Years,3 Years,Masters,Low,Low,Good,High,Bad,Mayer,Male,86578,Other,1687
Advertising,Group B,Full Time,Divorced,42,Los Angeles,00:00.0,Non Active,4,8,2 Years,3 Years,College,Medium,Low,Outstanding,Medium,Better,Hester,Female,98646,Other,1746
